title,top_concepts,synopsis
Muteki Choujin Zambot 3,"villains, beings, hijinks, enemies, aliens, monsters, enemy, cartoon, family, sakuga","There once existed a planet named Beal, until it was wiped out by the mysterious entity known as Gaizok. The few remaining survivors escaped to Earth and split into three families, named Jin, Kamie, and Kamikita respectively. While attempting to start a new life, the collectively known ""Jin Family"" prepared for the inevitable Gaizok invasion on Earth and its giant mechanical beasts known as ""Mecha Boosts"". In order to defend their new home, they have built three vehicles which when combined form the mighty Zambot 3. The Jin Family must not only defend against Gaizok attacks, but also harsh criticisms from the very people they protect, who blame the Jin Family for the invasion in the first place.

(Source: AniDB)"
Kidou Senshi Gundam: Gyakushuu no Char,"gundam, character, characters, shonen, romcom, protagonists, superhero, loli, future, worldbuilding","The year is Universal Century 0093. Char Aznable has taken command of Neo Zeon, the rebels of outer space. He firmly believes that humankind can only achieve peace by relocating to space. Thus, he plans to crash the giant asteroid Axis into Earth and plunge the planet into an uninhabitable winter. Char also eagerly anticipates this opportunity to settle a 14-year rivalry with Amuro Ray. The two have been reluctant allies at times, but Char has never forgiven Amuro for causing the death of one of his comrades during the One Year War.

Only the Earth Federation's Londo Bell Unit has the power to stop Char from fulfilling his dangerous goal. Leading the defense of Earth is veteran captain Bright Noa and Amuro Ray with the latest Nu Gundam mobile suit. In this thrilling conclusion to the original Gundam series, Londo Bell engages in a final conflict with Neo Zeon that will decide the fate of Earth and end this long-standing rivalry—once and for all.

[Written by MAL Rewrite]"
Kidou Senshi Victory Gundam,"gundam, empire, assassin, tactics, romcom, villain, villains, battle, superhero, romp","In the year 153 of the Universal Century, the tyrannical Zanscare Empire has taken hostile control over Side 2, a space colony outside of Earth's orbit. Following in the footsteps of the long expired Principality of Zeon and the more recent Crossbone Vanguard, Zanscare rules over its subjects with cruelty, routinely using a large guillotine for public executions.

Living in Central Europe, space immigrant Üso Ewin joins the League Militaire, a militia made up of civilians frustrated with the Earth Federation's inability to combat the Zanscare Empire. Üso's latent abilities as a psychic Newtype awaken and allow him to pilot the Victory Gundam, the only mobile suit capable of holding off the elite BESPA forces of the Zanscare Empire.

Hoping to protect his best friend Shakti Kareen and locate his parents within the ranks of the Federation, Üso fights on with the Victory, striving to bring an end to the empire's reign.

[Written by MAL Rewrite]"
Shin Kidou Senki Gundam Wing,"gundam, assassin, mission, superpowers, enemy, villain, atmosphere, superhero, worldbuilding, villains","The United Earth Sphere Alliance is a powerful military organization that has ruled over Earth and space colonies with an iron fist for several decades. When the colonies proclaimed their opposition to this, their leader was assassinated. Now, in the year After Colony 195, bitter colonial rebels have launched ""Operation Meteor,"" sending five powerful mobile suits to Earth for vengeance. Built out of virtually indestructible material called Gundanium Alloy, these ""Gundams"" begin an assault against the Alliance and its sub organization OZ.

One Gundam, whose pilot has taken the name of the slain colony leader Heero Yuy, is forced to make a crash landing into the ocean after an atmospheric battle against OZ's ace pilot Zechs Marquise. Upon coming ashore, he is found by Relena Peacecraft, daughter of a peace-seeking politician, who witnesses Heero's descent to Earth. Although neither of them realize it yet, this encounter will have a profound impact on both their lives, as well as those on Earth and in space colonies.

[Written by MAL Rewrite]"
Shin Kidou Senki Gundam Wing: Endless Waltz,"gundam, superpowers, mission, revelations, protagonists, worldbuilding, battle, finale, superhero, missions","In the year After Colony 196, one year after the conclusion of the intergalactic civil war, a state of stasis prevails over the Earth and its colonies. Seeing no further use for their Gundam mobile suits, war heroes Duo Maxwell, Heero Yuy, Trowa Barton, and Quatre Raberba Winner decide to destroy these weapons by launching them into the sun's surface. 

Before the Gundam reach their destination, the universal peace is shattered by the emergence of Mariemaia Khushrenada—the only child of the former tyrannical aristocrat Treize. Mariemaia abducts diplomat Relena Peacecraft and announces plans to launch ""Operation Meteor,"" with the intention of posthumously fulfilling Treize's world domination plot.

With the help of former enemy Zechs Marquise and his mobile suit Tallgeese, the heroic pilots must reacquire their mobile suits to wage one final battle against the Khushrenada dynasty, including fighting against their former ally Wufei Chang, now aligning himself with Mariemaia's ambitions.

[Written by MAL Rewrite]"
Kidou Shinseiki Gundam X,"gundam, war, mission, wars, superpowers, romcom, battle, ground, missions, tactics","When one space colony declared its independence from the Earth Federation, the devastating 7th Space War, an all-out war between Earth and space, resulted. The Federation responded to the Space Revolutionary Army with mobile suits, called Gundams. However, the Space Revolutionary forces played their trump card and dropped hundreds of space colonies onto the Earth, plunging the planet into a seven-year-long nuclear winter. The Federation collapsed, but the Space Revolutionary Army was unable to invade the Earth in the aftermath of the colony drop.

Fifteen years have passed. The year is now After War 0015, and a New Federation has sprung up on Earth to restore order. In space, the colonial leaders have been rebuilding their own forces as well. By chance, fifteen-year-old Garrod Ran has discovered an old Federation mobile suit, the Gundam X, and now he uses it to help out the Vulture ship Freeden in its struggle to keep the powers that be from repeating the mistakes of the past."
Kidou Senshi Gundam SEED,"gundam, mission, romcom, missions, villains, battle, anime, soldiers, villain, tactics","In the year Cosmic Era 0071, the space colony Heliopolis remains neutral in the great war raging across the galaxy between Coordinators, human beings whose biological traits have been altered before birth, and Naturals, unaltered people who remain on the planet Earth. The Naturals' deep hatred of the Coordinators drove the advanced beings into space, seeking shelter in man-made colonies.

Kira Yamato is a Coordinator and university student on Heliopolis, when his life is thrown into disarray as ZAFT, the military organization composed of rebellious Coordinators, attacks the colony in an effort to steal a set of five state-of-the-art military mobile suits known as Gundams.

While ZAFT manages to make off with four of the mobile suits, Kira take control of the final Gundam, the Strike. Surviving the battle, Kira and his college friends join the crew of the Archangel, a ship run by the Earth Alliance, and the young soldiers experience the horrors of war and the loss that comes with it.

[Written by MAL Rewrite]"
Waga Seishun no Arcadia,"empire, worldbuilding, wars, war, villains, villain, world, battle, hijinks, evil","Earth has been conquered by the evil Illumidus Empire, with parallels drawn to the U.S. post World War II occupation of Japan. Captain Harlock with a group that will become his life long friends begin their fight against this tyranny visited upon the planet Earth, with no regard to the costs the struggle will have on them, caring only for the ideal of restoring freedom to the people of Earth.

(Source: ANN)"
Mijikamon,"episodes, manga, anime, subtitles, animes, episode, shonen, shows, yaoi, minutes",2-minute specials for Barakamon featuring chibi characters. These specials were streamed exclusively on YouTube only in Japan after every episode of the main series.
Kidou Senshi Gundam SEED Destiny,"superhero, fate, gundam, conflict, villain, superpowers, nature, conflicts, storyline, realities","In the year Cosmic Era 0071, a wartime brawl between two mobile suits results in the destruction of a neutral country. Shinn Asuka finds his entire family killed as casualties of the violence, and swears his life toward a vengeful pursuit of the Earth's Natural forces, under the impression they were the ones responsible for his family's death. Shinn works his way up through the ZAFT military forces, eventually gaining access to the cockpit of the prototype Impulse mobile suit.

Athrun Zala, a veteran of the recent war employed in the service of diplomat Cagalli Yula Athha, finds himself drawn into a new conflict between the Naturals and the Coordinators: human beings artificially enhanced before birth and hated by the Naturals for their biological advantages.

As the new war rears its head and violence becomes inevitable, Athrun finds himself as a mentor to the bitter Shinn. Athrun must steer the young pilot towards a mindset of mercy before his rage and desire for vengeance consumes him.

[Written by MAL Rewrite]"
Turn A Gundam,"gundam, loli, stone, mission, goddess, chan, turn, anime, world, star","It is the Correct Century, two millennia after a devastating conflict which left the world broken. Earth is now mostly uninhabitable, and thus a remnant of humanity has resided on the Moon while the Earth and its few survivors recover. For years, the ""Moonrace,"" the people of the Moon, have continued to check if Earth is fit for resettlement.

A boy named Loran Cehack and two others are sent down to Earth for a reconnaissance mission. Loran ends up spending a year on the planet working for the Heim Family, aristocrats living in a Victorian-like society. This family, like others of similar wealthy status, celebrates one's coming of age with a ceremony involving a giant stone statue known as the ""White Doll.""

To Loran's surprise, the Moonrace suddenly touches down on Earth with the intent of taking it by force. During the attack, the White Doll is broken apart, revealing a mobile suit called the ""Turn A Gundam"" inside. With Loran in its cockpit, the Turn A causes a standoff between the forces of Earth and Moon. The young pilot, along with the people of both sides, must keep the peace and avoid another all-out, catastrophic war.

[Written by MAL Rewrite]"
Kidou Butouden G Gundam,"gundam, battle, fighter, battles, samurai, fights, protagonists, romcom, fight, wars","In the year Future Century 0060, the many countries that once comprised Earth's surface exist as separate colonies floating in space. Their home planet now uninhabitable, the ruler of all of the colonies is decided by their unanimous participation in the intergalactic Gundam Fight Tournament—a series of battles between the champions of each colony to determine who is most fit to reign over them all.

Neo-Japan's champion is Domon Kasshu, a man who accepts the role with some ulterior motives. Domon searches the galaxy for his brother, a criminal who allegedly murdered their mother and made off with the Devil Gundam, a highly advanced weapon with the power to unleash mass destruction across the galaxy. In his quest to bring his sibling to justice, Domon travels from colony to colony, meeting many of the fighters who will become his allies and enemies in the forthcoming Gundam Fight Tournament.

Armed with the strength of the Shining Gundam, Domon battles to uncover the truth behind his tortured childhood, suffering great betrayal and crushing blows on his quest toward personal and national triumph.

[Written by MAL Rewrite]"
Last Exile,"fate, journey, protagonists, realities, atmosphere, crew, spirits, adventurer, consequences, superpowers","In the world of Prester, flight is the dominant mode of transportation, made possible by Claudia Fluid: a liquidized form of the crystals that are produced on the planet. An organization known solely as ""the Guild"" has absolute authority over the skies, with a monopoly on the engines that make use of this fluid. Moreover, as ecological disasters destabilize the warring countries of Anatoray and Disith, the Guild also arbitrates in the disputes between the two. Caught in the middle of the conflict are Sky Couriers, piloting small, two-person vanships that fly freely through the sky.

 follows the adventures of two teenagers who dream of surpassing their parents: Claus Valca, son of a famous vanship pilot, and Lavie Head, Claus' best friend and navigator. Their job as couriers entails passing through an air current called the Grand Stream that separates the hostile nations, which even standard airships struggle to survive. However, when they take on a high-rated delivery to bring an orphan girl named Alvis Hamilton to the battleship Silvana, they get dragged into a much greater conflict that pits them against the might of the Guild.

[Written by MAL Rewrite]"
Mai-HiME,"waifu, anime, animes, iyashikei, manga, isekai, swords, goddess, shoujo, mangaka","While taking a ferry to Fuuka Academy, new students Mai Tokiha and her sickly younger brother, Takumi, spot a girl adrift on the water. Shortly after bringing her aboard, the ferry comes under attack from an assailant who summons a mechanical monster. Despite still recovering from her injuries, Mikoto Minagi fends off the monster using a supernatural sword.

Mai soon discovers that Mikoto is a fellow Fuuka Academy student with abilities called HiME (Highly-advanced Materializing Equipment). Female students with HiME are responsible for defending the academy and the local city from the monstrous ""Orphans."" After several incidents at the school involving battles against these mysterious creatures, Mai learns that she is a HiME herself and is capable of summoning a Child, a mechanical creature capable of great utility and firepower.

Now burdened with new responsibilities, Mai joins 12 other HiME as they safeguard the school from a threat they know little about all while protecting the ones closest to them.

[Written by MAL Rewrite]"
Mai-Otome,"mangaka, otakus, harem, otaku, princess, yaoi, waifu, anime, sister, isekai","In the Kingdom of Windbloom, Arika Yumemiya enrolls at Garderobe Academy to become an Otome—a virgin girl who is able to use a HiME (Highly-advanced Materializing Equipment) that bestows destructive abilities. Arika also wishes to find her mother who was a Meister Otome, an Otome of the highest rank responsible for being the personal bodyguard and super weapon of the specific nation they are assigned to.

While attending the academy, Arika makes friends with Nina Wáng, a distinguished Otome student, and Mashiro Blan de Windbloom, the current princess of the kingdom. With them by her side, Arika quickly adjusts to the academy's environment as she spends her days eagerly training, navigating social relationships, and developing her skills as an Otome.

However, Arika soon realizes that the process of becoming an Otome is fraught with dangers and unsavory political dealings. Bombarded with numerous personal dilemmas, Arika must make many sacrifices if she truly wishes to achieve her goals.

[Written by MAL Rewrite]"
Karakuri Zoushi Ayatsuri Sakon,"shounen, ecchi, isekais, isekai, characters, seiyuus, villains, singer, character, cartoons","The dark-haired bishounen is Sakon Tachibana, a puppeteer, and the other is Ukon, his favorite puppet, and best friend. Sakon is the (only) grandson of Saemon Tachibana, a national treasure of Japan famous for his manipulation of Bunraku puppets. Ukon is a child doll puppet made in the early Meiji era by the famous female dollmaker Unosuke. Together they run into murders and solve them.

(Source: AnimeNfo)"
Shin Shirayuki-hime Densetsu Prétear,"princess, sister, sisters, maid, goddess, protagonists, knight, heroine, antics, isekai","Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?

[Written by MAL Rewrite]"
Air,"isekai, manga, isekais, iyashikei, shoujo, kun, anime, animes, shounen, maid","Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her.

By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?

[Written by MAL Rewrite]"
Aishiteruze Baby★★,"waifu, shoujo, iyashikei, manga, samurai, yaoi, mangaka, sakuga, anime, animes","Katakura Kippei is in every way a high school playboy. Spending his days flirting with any girl he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the full-time task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride."
Akazukin Chacha,"goddess, princess, witch, storyline, villain, character, villains, storylines, protagonists, quest","Chacha is a cheerful girl who spends most of her days practicing magic under her teacher Seravi, hoping to become as skilled as he is. Though Chacha is enthusiastic, her tendency to make unfortunate puns out of her magic chants leaves her teacher wondering if she is ready for magic school. Deciding that there is no better time, Seravi gifts Chacha the Princess Medallion, allowing her to transform into a magical princess capable of defeating even the fiercest opponents.

Together with her best friends Riiya, a werewolf boy, and Shiine, an apprentice of Seravi's old rival, Dorothy, Chacha sets out to defend the world from sinister forces. However, between the Great Evil Lord plotting against them, Riiya and Shiine's rivalry to win Chacha's affection, as well as Seravi and Dorothy's complicated relationship, Chacha struggles to find balance between fighting evil forces and mending relationships in her everyday life. Though obstacles continue to come her way, Chacha is determined to overcome any problem she faces with love, courage, and hope by her side.

[Written by MAL Rewrite]"
Sakigake!! Cromartie Koukou,"antics, protagonist, school, student, teacher, melodrama, grades, teenager, teen, students","Takashi Kamiyama is your typical mild-mannered high school student—polite, aloof, and pacifistic, with a slightly above-average IQ. But would your average high school student really enroll himself at the infamous Cromartie High School, known as a breeding ground for the toughest delinquents out there?

Apparently so, as that is exactly what Takashi does, though for reasons he'd rather leave unmentioned. However, one thing is for sure: the ""hard-boiled rabbit in a den full of hungry lions"" is never going to have another dull day. And how could he, now that he's surrounded by mohawked punks, obnoxious robots, and... gorillas? And was that Freddie Mercury riding a horse down the corridor? Follow Takashi as he earnestly dedicates his new high school life to better his school's reputation while his classmates are hellbent on wreaking havoc.

[Written by MAL Rewrite]"
Ayashi no Ceres,"isekai, protagonists, isekais, goddess, waifu, princess, characters, blood, maid, harem","Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed.

Now, in modern day time, Aya Mikage is a descendent of Ceres, and has quite an amount of tennyo blood. On her 16th birthday, she and her twin brother, Aki, are thrown a party. At the ""party,"" Aya's grandpa plans to kill her, for she has tennyo powers unlike the rest of the family, and can actually become Ceres herself and destroy the Mikage family. Aya, however, can switch back, so this transformation happens quite frequently.

With protector Yuuhi by her side, it is up to Aya to control Ceres and keep her from coming back, but her relationship with an ex-worker for her evil grandpa may be a distraction."
Boys Be...,"romance, romances, manga, anime, shonens, animes, shonen, love, isekai, relationships","There are two sides to every love story, and  reveals what's really going on—from the guy's point of view!

Meet three normal high school guys with just one thing on their minds: girls. Quiet Kyoichi has been friends with Chiharu ever since they were young, but lately, his feelings have begun to change. Lecherous Makoto, a self-proclaimed master of the rules of romance, is ready to sweep the ladies off their feet. And Yoshihiko, a handsome sports nut, is unfortunately a bit clueless in matters of the heart.

Join this hapless trio for a year of romantic misadventures that will change their lives forever!

(Source: RightStuf)"
Hana yori Dango,"isekai, shoujo, waifu, anime, mangaka, shonen, sakuga, manga, yaoi, shonens","Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye...

(Source: ANN)"
Ou Dorobou Jing,"thief, villains, villain, shenanigans, yaoi, protagonist, bond, assassin, enemy, king","Jing may appear to be a young boy, but his remarkable skills make him one of the most feared thieves on the planet. Along with his feathered partner Kir, Jing travels from town to town, stealing anything of value regardless of the amount of security. But when he's in a pinch, he has one more trick up his sleeve: Kir bonds with Jing's right arm to perform the effectively deadly ""Kir Royale"" attack. And because of all this, Jing is infamously known by many as the ""King of Bandits."""
Ou Dorobou Jing in Seventh Heaven,"thief, villains, villain, shenanigans, assassin, dungeon, king, waifu, yaoi, empire","Jing, the infamous King of Bandits, finds himself and his feathered partner Kir behind bars in Seventh Heaven, the most notorious prison complex in the world. There, they seek to steal the Dream Orb from the convict Campari. But before doing so, they must escape from the prison of dreams that Campari has conjured for them."
Bakuretsu Tenshi,"chef, samurai, crime, crimes, murder, manga, detective, anime, isekai, shoujo","In Japan's not-too-distant future, crime has become so common that the government has legalised firearms for citizens to use in self-defence. To combat this new wave of wrongdoing, the Recently Armed Police of Tokyo was established in hopes of hunting down criminals with lethal force.

Kyohei Tachibana is a gifted culinary student who dreams of saving up enough money to become a pastry chef in France. When four young mercenaries ask him to be their cook, he's forced into making a tough choice. As Jo, Meg, Sei, and Amy take on the bloodiest jobs in the chaotic city of Tokyo, Kyohei accepts an imminent descent into the world of crime—and he'll do a lot more than just cooking!"
Chuuka Ichiban!,"chef, meal, recipe, shonen, yaoi, culture, shonens, shenanigans, food, worldbuilding","The story takes place in 19th century China during the Qing Dynasty, where the Emperor was weakened and the country was close to chaos. It is also during a fictitious era called ""The Era of the Cooking Wars"". It was an era in which top chefs with different cooking styles tried their best to improve their skills and to become the best chef in China. It is a country where insulting a high-grade chef or fooling around with cooking could land a person in a jail, and impersonating a top-chef is as good as usurpation of authority. Chefs compete with each other in order to gain respect and even power, but also with the risks of losing everything.

The country of China has four major regions: Beijing, Szechuan, Shanghai, and Guangdong.

The beginning of the story takes place in Szechuan, Mao's birthplace.

After the death of Mao's mother, Pai, who was called the 'Fairy of Cuisine', Mao becomes a Super Chef in order to take the title as Master Chef of his mother's restaurant. However, before he takes his mother's place as Master Chef, he continues to travel China in order to learn more of the many ways of cooking, in the hopes of becoming a legendary chef, just like his mother. During his journey, he meets great friends and fierce rivals who wish to challenge him in the field of cooking.

(Source: Wikipedia)"
Corrector Yui,"ai, hacker, complex, protagonists, loli, intelligence, yaoi, student, isekai, actress","Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good.

(Source: ANN)"
Chou Henshin Cosprayers,"goddess, monsters, isekais, isekai, darkness, sakuga, superpowers, villain, gods, encounter","Koto unknowingly seals away the Sun Goddess Amaterasu, and now she is in a different world and can't return. Meeting priestesses who combat the evil in this strange place she learns that Black Towers throughout the land keep Amaterasu sealed away and are guarded by evil monsters. Koto must now find a way to help defeat these monsters and return the world to the way it was.

(Source: ANN)"
Uchuu no Stellvia,"foundation, star, superpowers, worldbuilding, mission, ness, milestone, synopsis, nature, revelations","In the year 2167, a wave of radiation released by the supernova of the nearby star Hydrus Beta caused cataclysmic damage on Earth, leaving millions dead. Now, it is the year 2356. United to rebuild Earth, humanity prepares for the supernova's second wave of destruction. 

In order to protect the planet from future harm, massive space colonies called ""Foundations"" have been built throughout the Solar System. Acting as centers for both knowledge and exploration, it is at one of these Foundations—the Stellvia—that Shima Katase applies to be a preparatory student against her mother's wishes, aspiring to see space directly with her own eyes.

At the Stellvia, Katase trains to become a pilot and hopes to be selected for the ""Great Mission"" to shield Earth from the second wave. While she struggles with both her pilot classes and her tumultuous social life, she slowly grows into someone who might just be able to protect humanity.

[Written by MAL Rewrite]"
Lemon Angel Project,"singer, anime, yaoi, shonen, animes, sisters, grace, artists, shonens, kun","Lemon Angel was once the greatest girl band of Japan, but then it broke up and most of its members vanished. When a music producer decides to put together a new Lemon Angel, average high schooler Tomo Minaguchi is approached to audition for the group. Little does she know of the mystery behind the original Lemon Angel...

(Source: ANN)"
Shinpi no Sekai El-Hazard (TV),"manga, shonens, princess, students, shonen, anime, mangaka, waifu, shoujo, antics","High school science-whiz Makoto Mizuhara is working on his newest project in preparation for the school festival, alongside his best friend Nanami Jinnai. Nanami's brother and Makoto's lifelong rival, the unscrupulous student council president Katsuhiko Jinnai, is under scrutiny for mishandling the school festival planning and is convinced that Makoto is plotting to steal his position. One night, as Makoto and Nanami are taking a break with their teacher Masamichi Fujisawa, Jinnai sneaks into the science lab and sabotages Makoto's device, which suddenly opens a portal that flings all four of them into another world!

Upon arrival, Makoto is immediately attacked by a horde of giant bug monsters. While running from them, he comes across Fujisawa and a girl named Rune Venus. After Fujisawa fights off the monsters, a group of dignitaries arrives, looking for Rune, their princess. They inform Makoto and Fujisawa that they are in a world called El-Hazard and take them back to the palace of Roshtaria, their kingdom. Though her advisors are suspicious of the newcomers, Rune decrees that they are to be treated as guests and quickly befriends Makoto. Unaware that Nanami and Jinnai are in this world as well, Makoto gets to work trying to figure out a way back to Earth.

[Written by MAL Rewrite]"
Shinpi no Sekai El-Hazard,"manga, iyashikei, anime, mahou, princess, waifu, animes, antics, shonens, shonen","After Makoto Mizuhara agrees to testify against the boisterous student council president Katsuhiko Jinnai for bribing school clubs in the recent student council elections, Jinnai chases him down in an attempt to silence his self-proclaimed rival. Suddenly, during the chase, time stops for everyone—except Makoto. Perplexed, he wanders around the campus until he notices a light coming from the school's closed-off basement, where an ancient relic had just been uncovered.

Makoto is walking toward the artifact surrounded by strings of light, when out of it comes an otherworldly woman who claims she has been waiting for ten thousand years to see him. Weakened by the passage of time, she uses her remaining power to transport a confused Makoto to another world, which she refers to as El-Hazard. However, others who are still at school are also caught in the spell, namely: Jinnai; Masamichi Fujisawa, the alcoholic teacher; and Nanami Jinnai, the headstrong sister of president Jinnai.

The fantastical and magnificent world of El-Hazard awaits these four individuals where they will become entangled in the story of its inhabitants and embark on an adventure filled with laughter, danger, and even romance.

[Written by MAL Rewrite]"
Shinpi no Sekai El-Hazard Season 2,"isekai, isekais, waifu, manga, goddess, shonens, shonen, demon, iyashikei, mangaka","Continuing the from OVAs; When Fujisawa, suffering from cold feet, leaves Miz at the altar, an enraged Priestess drafts Makoto and friends to go find him. In the couse of locating the hapless (and gutless) teacher, they find another Ifurita. Meanwhile Jinnai and Diva searching for a new Bugrom homeland stumble upon another yet another Demon God, the impish Kalia. However, unlike Ifurita she has a mind, and a mission, of her own... 

(Source: ANN)"
Final Approach,"shoujo, mangaka, waifu, manga, couple, anime, shonen, isekai, yaoi, animes","Ever since their parents died a few years ago, Ryo and his sister Akane have been living alone together. Despite their difficult situation, they are still living reasonably happy and normal lives. However, everything is about to be flipped upside-down due to a secret government project. Due to increasingly low birth rates in Japan, the Japanese government is testing a program in which two young people are forced to marry. Ryo wants no part of it, but he is given little choice in the matter; his new fiancée, Shizuka, comes to his home late one night with several dozen government issued bodyguards, who are there to ensure the success of the new couple. Unlike Ryo, Shizuka couldn’t be more willing to go along with this new program, and eagerly goes about her wifely duties, despite his objections. With meddling friends, pushy bodyguards, and an overenthusiastic new fiancée, Ryo’s life has taken a turn in a direction the young man certainly didn’t expect.

(Source: ANN)"
Fruits Basket,"endings, fate, waifu, manga, yaoi, kun, goddess, ending, sister, loli","After the accident in which she lost her mother, 16-year-old Tooru moves in with her grandfather, but due to his home being renovated, is unable to continue living with him. Claiming she will find someone to stay with but also fearing the criticism of her family and not wanting to burden any of her friends, Tooru resorts to secretly living on her own in a tent in the woods.

One night on her way back from work, she finds her tent buried underneath a landslide. Yuki Souma, the ""prince"" of her school, and his cousin Shigure Souma, a famous author, stumble across Tooru's situation and invite her to stay with them until her grandfather's home renovations are complete.

Upon arriving at the Souma house, Tooru discovers their secret: if a Souma is hugged by someone of the opposite gender, they temporarily transform into one of the animals of the zodiac! However, this strange phenomenon is no laughing matter; rather, it is a terrible curse that holds a dark history. As she continues her journey, meeting more members of the zodiac family, will Tooru's kindhearted yet resilient nature be enough to prepare her for what lies behind the Souma household's doors?

[Written by MAL Rewrite]"
Fullmetal Alchemist,"stone, gem, archetype, abilities, ed, explanations, elements, adventurer, explanation, ability","Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation, Edward loses his brother as well as two of his limbs. With his supreme alchemy skills, Edward binds Alphonse's soul to a large suit of armor.

A year later, Edward, now promoted to the fullmetal alchemist of the state, embarks on a journey with his younger brother to obtain the Philosopher's Stone. The fabled mythical object is rumored to be capable of amplifying an alchemist's abilities by leaps and bounds, thus allowing them to override the fundamental law of alchemy: to gain something, an alchemist must sacrifice something of equal value. Edward hopes to draw into the military's resources to find the fabled stone and restore his and Alphonse's bodies to normal. However, the Elric brothers soon discover that there is more to the legendary stone than meets the eye, as they are led to the epicenter of a far darker battle than they could have ever imagined.

[Written by MAL Rewrite]"
Full Moon wo Sagashite,"singer, anime, animes, iyashikei, waifu, isekai, manga, yaoi, voice, mangaka","Two years ago, Mitsuki Kouyama's friend, Eichi Sakurai, moved to America before she could confess her feelings to him. Though she cannot contact him, they made a promise to fulfill their respective dreams: Mitsuki wants to become a professional singer, and Eichi an astronomer. She hopes that one day her music will reach him across the world with a brilliance like that of the full moon.

There is just one catch: Mitsuki suffers from throat cancer, which makes her voice quiet and singing strenuous. Her grandmother, who has a hatred of music, insists that Mitsuki undergo surgery to remove the cancer, but she refuses due to the risk of losing her voice. One day, two shinigami—Meroko Yui and Takuto Kira—appear to tell her that she only has one year left to live. This sudden revelation spurs Mitsuki into action, and she decides that with Meroko and Takuto's help, she will become a professional singer in the time she has left.

 follows the emotional story of Mitsuki and her shinigami friends as they discover what it means to sing—and ultimately, what it means to live.

[Written by MAL Rewrite]"
Mai-HiME Specials,"shorts, episodes, episode, ep, protagonists, battles, subtitles, anime, manga, battle","Extra shorts that come after each episode. This entry also includes the Mai Hime vs. Mai Otome - ""Moe""? The Greatest Battle! episode."
Alps no Shoujo Heidi,"protagonists, adventures, wolf, mangaka, protagonist, manga, anime, lives, tales, characters","After becoming an orphan, Heidi is forced to live with her grandfather Öhi, who lives in the Alps. She learns he's a very bitter man who only accepted by force to take her in. But Heidi's kindness may be able to open his heart. Together with the shepherd Peter and invalid Clara, she has lots of adventures.

(Source: adapted from ANN)"
